"# Separated ""off-the-rack"" and ""arrangement-candidate"" fields",,,,,,,,,,,,,,,,,,,,
# A-I  = common,,,,,,,,,,,,,,,,,,,,
# J-P  = off-the-rack / repertoire,,,,,,,,,,,,,,,,,,,,
# Q-U  = source-material / arrangement-candidate,,,,,,,,,,,,,,,,,,,,
READINESS-STATE,COMPOSER,WORK,LEVEL,CATEGORY,STATUS,DURATION,PARTS-NOTES,NOTES,PUBLISHER,PRICE,PDF,PDF-URL,SCORE-SOURCE,SCORE-URL,RECORDING,REFERENCE-MATERIAL,REFERENCE-URL,ARRANGEMENT-DIFFICULTY,INTEREST-LEVEL,ARRANGEMENT-NOTES
Ready,Tchaikovsky,1812-Overture,INT-2,Romantic,,,,,,,1812-Overture,https://drive.google.com/drive/folders/1kLmXd7vE517iF5kbl-6yEzWbiEpjg5Nt?usp=drive_link,,,,,,,,
Ready,Hurwitz,Mia-and-Sebastian-Theme,INT-1,Film,,,,,,,Mia-and-Sebastian-Theme,https://drive.google.com/drive/folders/1zM4BvZYunsTIKVFSLlt9MpwCOFb_QVs6?usp=drive_link,,,,,,,,
Ready,Bach,Brandenburg-3-Mvt-1,INT-2,Baroque,,,,,,,Brandenburg-3-Mvt-1,https://drive.google.com/drive/folders/1LA7yCSMeGyyrzmpiZAGXHG_uzJoxbZAa?usp=drive_link,,,,,,,,
Ready,Bizet,Habanera,INT-2,Romantic,,,,,,,Habanera,https://drive.google.com/drive/folders/1VOyl598Qc9x8MXMVgEVZKicce-RtHZ99?usp=drive_link,,,,,,,,
Ready,Ffrench,Wishing,INT-1,Popular,,,,,,,Wishing,https://drive.google.com/drive/folders/10QrwOcnFperWnol3iP6oCnD-OUpsCKZL?usp=drive_link,,,,,,,,
Ready,Bach,Air-on-the-G-String,INT-2,Baroque,,,,,,,Air-on-the-G-String,https://drive.google.com/drive/folders/1CgMIgNDVnQvLaXHW0bgSUkjfAOHtrmUn?usp=drive_link,,,,,,,,
Ready,Mozart,Eine-Kleine-Nachtmusik,INT-2,Classical,,,,,,,Eine-Kleine-Nachtmusik,https://drive.google.com/drive/folders/1eb1rCbqGB9JpiI4iaPtXaaTFYMtO7xaQ?usp=drive_link,,,,,,,,
Ready,Toshio-Masuda,Naruto-Sadness-and-Sorrow,INT-1,Film,,,,,,,Naruto-Sadness-and-Sorrow,https://drive.google.com/drive/folders/1hSirouKS4gRoJlaekwtrQGHvZbhyC__a?usp=drive_link,,,,,,,,
Ready,Corelli,Christmas-Concerto,INT-3,Baroque,,,,,,,Christmas-Concerto,https://drive.google.com/drive/folders/1EialPd0UzicEEBvK-Iac7fQznXR6ZPtH?usp=drive_link,,,,,,,,
Ready,Sibelius,Finlandia,INT-1,Romantic,,,,,,,Finlandia,https://drive.google.com/drive/folders/1w4B2IiMDsuEdDB_5seK-Z27bvyXQRAWO?usp=drive_link,,,,,,,,
Ready,Mozart,Symphony-40,INT-3,Classical,,,,,,,Symphony-40,https://drive.google.com/drive/folders/1EoUx9_SCpoY1RNsVOShSbVWfVUV8aHts?usp=drive_link,,,,,,,,
Ready,Giacchino,Married-Life,INT-2,Film,,,,,,,Married-Life,https://drive.google.com/drive/folders/1b8njv1YGK-Tb-zlnu0L6boX2CjAV-Gz8?usp=drive_link,,,,,,,,
Ready,Williams,Jurassic-Park,INT-2,Film,,,,,,,Jurassic-Park,https://drive.google.com/drive/folders/1UvJcHQEmNOGNyEVCo2FsirPxXwfQt6Qd?usp=drive_link,,,,,,,,
Ready,Mozart,Queen-of-the-Night,INT-3,Classical,,,,,,,Queen-of-the-Night,https://drive.google.com/drive/folders/1RQjDtAIQEk9w_qH_ztuujKkTyQ6lrU1X?usp=drive_link,,,,,,,,
Ready,Vivaldi,Concerto-RV-565,ADV,Baroque,,,,,,,Concerto-RV-565,https://drive.google.com/drive/folders/130FOf-Mop2xLvWCdYXE17Kz6AyNcyXy1?usp=drive_link,,,,,,,,
Ready,Djawadi,Game-of-Thrones,INT-2,Film,,,,,,,Game-of-Thrones,https://drive.google.com/drive/folders/1BJelbxM_CykRmS776olGCykZfhUYxBlF?usp=drive_link,,,,,,,,
Ready,Rossini,William-Tell,INT-2,Romantic,,,,,,,William-Tell,https://drive.google.com/drive/folders/1xnwU05NyHy1lBh1-PnM9Mjti7jGSfD9e?usp=drive_link,,,,,,,,
