PATTERN,SUGGESTED-PART,COUNT,EXAMPLES,PIECE-DIRS,COMMENTS
1812-Tchaik-10-29-CELLO-1,VC-1,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-1.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-CELLO-2,VC-2,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-2.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-2.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-SCORE,SCORE,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-SCORE.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-SCORE.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-VIOLA,VA,1,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLA.pdf,2023-3-Fall/1812 Overture,
1812-Tchaik-10-29-VIOLIN-1,VN-1,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-1.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-VIOLIN-2,VN-2,1,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-2.pdf,2023-3-Fall/1812 Overture,
1812-Tchaik-10-29-VIOLIN-3,VN-3,1,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-3.pdf,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
2025-04-02-math,,1,2025-1-Winter/Queen-of-Night-Mozart/Mila_s Work/2025-04-02_math.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Air-G-String-Rev-1,,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Cello-1,VC-1,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-1.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Cello-2,VC-2,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-2.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Viola,VA,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Viola.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Violin-1,VN-1,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Violin-1.pdf,2024-2-Spring/Bach - Air on the G String,
