SOURCE-REL-PATH,COMPOSER,WORK,DEST-COMPOSER,DEST-WORK,NOTES
2023-3-Fall/1812 Overture,Tchaikovsky,1812 Overture,Tchaikovsky,1812-Overture,
2023-3-Fall/Mia & Sebastian_s Theme,Hurwitz,Mia & Sebastian_s Theme,Hurwitz,Mia-and-Sebastian-Theme,
2024-1-Winter/Brandenburg-3-Bach,Bach,Brandenburg-3-Bach,Bach,Brandenburg-3-Mvt-1,
2024-1-Winter/Habanera-Bizet,Bizet,Habanera-Bizet,Bizet,Habanera,
2024-1-Winter/Wishing-Ffrench,Ffrench,Wishing-Ffrench,Ffrench,Wishing,
2024-2-Spring/Bach - Air on the G String,Bach,Bach - Air on the G String,Bach,Air-on-the-G-String,
2024-2-Spring/Mozart -Eine Kleine Nachtmusik,Mozart,Mozart -Eine Kleine Nachtmusik,Mozart,Eine-Kleine-Nachtmusik,
2024-2-Spring/Naruto - Sadness & Sorrow,Toshio-Masuda,Naruto - Sadness & Sorrow,Toshio-Masuda,Naruto-Sadness-and-Sorrow,
2024-3-Fall/Corelli-xmas-cto,Corelli,Corelli-xmas-cto,Corelli,Christmas-Concerto,
2024-3-Fall/Finlandia,Sibelius,Finlandia,Sibelius,Finlandia,
2024-3-Fall/Mozart-40,Mozart,Mozart-40,Mozart,Symphony-40,
2024-3-Fall/Up-Theme-Married-Life,Giacchino,Up-Theme-Married-Life,Giacchino,Married-Life,
2025-1-Winter/Jurassic-Park,Williams,Jurassic-Park,Williams,Jurassic-Park,
2025-1-Winter/Queen-of-Night-Mozart,Mozart,Queen-of-Night-Mozart,Mozart,Queen-of-the-Night,
2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),Vivaldi,Vivaldi-Cto-RV-565 (Chamber Group ONLY),Vivaldi,Concerto-RV-565,
2025-2-Spring/Djawadi-Game-Thrones,Djawadi,Djawadi-Game-Thrones,Djawadi,Game-of-Thrones,
2025-2-Spring/Rossini-William-Tell,Rossini,Rossini-William-Tell,Rossini,William-Tell,
2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,Saint-Saens,Saint-Saens-Symph-3-Mvt-2,Saint-Saens,Symphony-3-Mvt-2,
2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),Vivaldi,Vivaldi-Cto-RV-522 (Chamber Group ONLY),Vivaldi,Concerto-RV-522,
